代码,    名称,现价,所属行业,总市值,流通市值,
SZ300384,三联虹普,16.61,建筑装饰,5307554300,2883906600,
SZ300385,雪浪环境,11.10,专用设备,2311199900,1348651400,
SZ300386,飞天诚信,16.43,计算机设备,6868462900,3602275000,
SZ300387,富邦股份,7.73,化学制品,2255590900,2234410700,
SZ300388,国祯环保,10.16,燃气水务,6903795000,5709674400,
SZ300389,艾比森,9.26,光学光电子,2961369400,1506063200,
SZ300390,天华超净,10.64,其他电子,5865576600,3589767200,
SZ300391,康跃科技,12.26,电气设备,4295120700,4003703900,
SZ300392,腾信股份,6.42,传媒,2465280000,1662803100,
SZ300393,中来股份,14.13,电气设备,6110717500,4144745000,
SZ300394,天孚通信,52.07,通信设备,10356822500,9166093500,
SZ300395,菲利华,23.14,新材料,7824984100,6251243700,
SZ300396,迪瑞医疗,19.42,医疗器械服务,5360502600,4855167600,
SZ300397,天和防务,45.01,国防军工,10802400000,6931590600,
SZ300398,飞凯材料,18.43,化学制品,9540142600,7943047700,
SZ300399,京天利,14.41,计算机应用,2847416000,1931736300,
SZ300400,劲拓股份,12.91,通用设备,3149960000,2354736100,
SZ300401,花园生物,13.65,化学制药,6542285500,6265482100,
SZ300402,宝色股份,8.21,通用设备,1658420000,1658420000,
SZ300403,汉宇集团,5.07,白色家电,3057210000,1930662300,
SZ300404,博济医药,22.60,医疗器械服务,3917529200,2498510500,
SZ300405,科隆股份,5.35,化学制品,1190209980,700559560,
SZ300406,九强生物,17.19,医疗器械服务,8625734700,5683158700,
SZ300407,凯发电气,8.07,电气设备,2461856400,1682931600,
SZ300408,三环集团,20.82,半导体及元件,36286929000,34476043000,
SZ300409,道氏技术,11.23,化学制品,5165734500,3544448000,
SZ300410,正业科技,6.39,其他电子,2436444500,2328491900,
SZ300411,金盾股份,9.49,专用设备,4330762300,1403782700,
SZ300412,迦南科技,7.25,专用设备,1872816400,1609971400,
SZ300413,芒果超媒,46.46,通信服务,82716339000,38748581000,
SZ300414,中光防雷,12.10,通信设备,3929274900,3637948100,
SZ300415,伊之密,6.85,专用设备,2959200000,2801136700,
SZ300416,苏试试验,34.37,仪器仪表,4659799600,4625257800,
SZ300417,南华仪器,33.63,仪器仪表,2744208000,1385831400,
SZ300418,昆仑万维,20.49,传媒,23707516000,18500613000,
SZ300419,浩丰科技,5.49,计算机应用,2018968200,1336680170,
SZ300420,五洋停车,6.20,通用设备,4436909000,3162267300,
SZ300421,力星股份,5.56,通用设备,1348107600,1020707990,
SZ300422,博世科,11.32,环保工程,4028097400,3732765400,
SZ300423,鲁亿通,11.76,电气设备,5871864300,2907349100,
SZ300424,航新科技,13.80,国防军工,3310177100,2652811700,
SZ300425,中建环能,4.73,环保工程,3196806200,3079927900,
SZ300426,唐德影视,4.89,传媒,2048513900,1223530520,
SZ300427,红相股份,19.05,电气设备,6826391400,4826750300,
SZ300428,四通新材,14.48,汽车零部件,8374786800,2860763500,
SZ300429,强力新材,15.67,化学制品,8074020600,4705866800,
SZ300430,诚益通,7.10,通用设备,1931263200,1655535500,
SZ300431,暴风集团,2.01,通信服务,662344270,488739960,
SZ300432,富临精工,11.07,汽车零部件,4812404100,4659550300,
SZ300433,蓝思科技,18.27,电子制造,80093074000,79824690000,
SZ300434,金石亚药,7.40,化学制药,2972904700,1673473900,
SZ300435,中泰股份,9.56,燃气水务,3616087200,2166171700,
SZ300436,广生堂,29.19,化学制药,4086600000,3280719600,
SZ300437,清水源,10.31,化学制品,2251065400,1383968600,
